dept_id,dept_name,faculty_id,campus,salary_total,avg_salary,avg_salary_m,avg_salary_f,avg_salary_unknown_gender,expenses_total,avg_expenses,avg_emp_rating,num_ratings,num_employees,female_count,male_count,no_gender_count
356,"Paragon Testing Enterprises Inc.",NULL,van,861890,123127.1429,129018.6000,108398.5000,NULL,28028,4004.0000,NULL,0,7,2,5,0
282,"Faculty Of Graduate Studies & Postdoctoral Studies",NULL,van,861172,123024.5714,106390.6667,135500.0000,NULL,28494,4070.5714,1.0000,1,7,4,3,0
104,"Liu Institute For Global Issues",NULL,van,830460,138410.0000,130706.5000,142261.7500,NULL,41219,6869.8333,5.0000,1,6,4,2,0
218,"Finance & Operational Strategies",NULL,van,818521,136420.1667,151488.0000,128886.2500,NULL,12114,2019.0000,NULL,0,6,4,2,0
138,Communications,NULL,van,800416,100052.0000,176873.0000,89077.5714,NULL,32917,4114.6250,1.0000,1,8,7,1,0
95,"Counselling Services",NULL,van,796944,88549.3333,91527.0000,88177.1250,NULL,16318,1813.1111,NULL,0,9,8,1,0
276,"General Internal Medicine",NULL,van,784313,156862.6000,158065.5000,156060.6667,NULL,9697,1939.4000,NULL,0,5,3,2,0
155,"Database Administration",NULL,van,779906,97488.2500,98660.6667,110015.0000,77927.0000,420,52.5000,NULL,0,8,1,6,1
64,"Technical Services",NULL,van,768571,109795.8571,110246.3333,109458.0000,NULL,21267,3038.1429,NULL,0,7,4,3,0
238,"Arts ISIT",7,van,741786,105969.4286,104906.2500,107387.0000,NULL,15952,2278.8571,10.0000,2,7,3,4,0
162,"Animal Care Services",NULL,van,737455,122909.1667,167963.0000,113898.4000,NULL,5469,911.5000,NULL,0,6,5,1,0
46,"Endocrinology & Metabolism Division",5,van,730399,121733.1667,153498.0000,115380.2000,NULL,10021,1670.1667,NULL,0,6,5,1,0
91," Enterprise Architecture",NULL,van,726238,121039.6667,139370.6667,102708.6667,NULL,13795,2299.1667,NULL,0,6,3,3,0
298,Administration,NULL,van,722237,120372.8333,132846.7500,95425.0000,NULL,24322,4053.6667,5.0000,1,6,2,4,0
